symbol,close,volume,turnover,rank
MTARTECH,8075.5,3912349,32202145000.0,1
HONASA,384.35,68973967,27051888000.0,2
HDFCBANK,766.8,25604071,19675630000.0,3
DIXON,11722.0,1362732,15931481000.0,4
LICI,812.95,18803486,15404473000.000002,5
JSWCEMENT,137.99,108481624,15034732000.0,6
ICICIBANK,1264.3,11601085,14667824000.0,7
MAXHEALTH,1023.25,11711405,12055547000.0,8
BSE,4193.8,2489857,10443982000.0,9
IDEA,13.73,756253332,10399242000.0,10
INFY,1174.5,8803066,10381417000.0,11
TRITURBINE,706.95,13994095,10026685000.0,12
VBL,539.45,18510994,9899877000.0,13
PREMIERENE,983.4,9877098,9732809000.0,14
RELIANCE,1354.5,7105813,9644326000.0,15
BHARTIARTL,1871.4,5099120,9577506000.0,16
ITC,301.7,30751752,9337968000.0,17
NAUKRI,960.95,9364081,8994246000.0,18
MCX,3269.9,2710869,8908557000.0,19
NYKAA,277.25,31687149,8763002000.0,20
APOLLO,355.05,24623537,8759221000.0,21
WIPRO,203.11,40014399,8135197000.0,22
M&M,3081.3,2407171,7460207000.000001,23
SBIN,949.2,7807192,7435662000.0,24
RATEGAIN,714.45,10404211,7421502000.0,25
KAYNES,3321.4,2181529,7148163000.0,26
SAMMAANCAP,161.46,43392866,6863678999.999999,27
SUNPHARMA,1844.6,3610732,6708585000.000001,28
SPARC,209.77,32264158,6587392999.999999,29
HFCL,148.21,44851554,6572170000.0,30
AXISBANK,1285.4,5016900,6423000000.0,31
TCS,2317.3,2617262,6081346000.0,32
ETERNAL,241.95,23537777,5721312000.0,33
PAGEIND,39455.0,141220,5545996000.0,34
EXICOM,157.84,36112798,5467129000.0,35
PINELABS,142.84,36817039,5427034000.0,36
AMBER,7359.0,722523,5383259000.0,37
LT,3926.6,1330428,5240833000.0,38
SAIL,201.21,26032718,5194428000.0,39
MARUTI,12987.0,387975,5059972000.0,40
SHRIRAMFIN,941.0,5414742,5058832000.0,41
BANKBARODA,265.4,18828819,4987657000.0,42
TATACOMM,1964.0,2440357,4768712000.0,43
APOLLOHOSP,8362.5,564876,4724485000.0,44
MOTHERSON,136.18,34327232,4675512000.0,45
VEDL,329.95,14086715,4645580000.0,46
TRENT,4296.5,1087977,4637938000.0,47
TATASTEEL,209.19,22023114,4607829000.0,48
ADANIENSOL,1367.9,3344194,4593693000.0,49
PAYTM,1112.4,4094406,4578258000.0,50
NTPC,388.65,11755213,4572282000.0,51
HINDALCO,1109.2,4136312,4561473000.0,52
JINDRILL,669.8,6689133,4471879000.0,53
AUROPHARMA,1463.5,3038819,4462778000.0,54
POWERGRID,294.3,15105294,4462463000.0,55
BAJFINANCE,916.55,4811990,4418912000.0,56
POLICYBZR,1792.4,2414312,4310420000.0,57
POWERINDIA,35555.0,118548,4250133999.9999995,58
ENGINERSIN,216.0,19341960,4238153000.0,59
COALINDIA,456.55,9201635,4208917000.0,60
ASIANPAINT,2639.8,1556434,4123079000.0,61
DATAPATTNS,3969.7,1026747,4118639000.0,62
LENSKART,513.95,7916620,4034998000.0000005,63
KOTAKBANK,384.15,10348359,3979369999.9999995,64
ULTRACEMCO,11569.0,340427,3945751000.0,65
GVT&D,4849.5,796078,3868791000.0000005,66
ATGL,652.8,5876309,3829485000.0,67
BEL,416.55,9175611,3829414000.0,68
SANDHAR,622.5,6099960,3829247000.0,69
WAAREEENER,2997.5,1254447,3798360000.0,70
ADANIPOWER,219.32,17090471,3769536000.0,71
GENESYS,277.4,13905710,3747343000.0,72
CENTRALBK,31.27,117475305,3728711000.0,73
HAL,4368.4,845826,3713298000.0000005,74
TMCV,382.95,9763844,3712739000.0,75
PROTEAN,647.5,5513408,3672650000.0,76
GLENMARK,2259.1,1593969,3641603000.0,77
EICHERMOT,6981.5,512596,3581412999.9999995,78
ANGELONE,339.35,10307977,3511048000.0000005,79
COFORGE,1387.1,2494600,3461233000.0,80
ONGC,290.0,11563330,3371096000.0,81
BOSCHLTD,36065.0,93254,3356685000.0,82
SANSERA,2853.8,1138659,3298706000.0,83
WELCORP,1277.5,2567700,3273590000.0,84
SUZLON,53.75,60760806,3248550000.0,85
JIOFIN,238.19,13517010,3229677000.0,86
BHEL,408.55,7879542,3226421000.0,87
DEEPAKFERT,1473.9,2212392,3217525000.0,88
HYUNDAI,1848.6,1736999,3197363000.0,89
SKMEGGPROD,181.06,15756244,3167810000.0,90
FORCEMOT,19878.0,159448,3164528000.0,91
TVSMOTOR,3417.5,924915,3160120000.0,92
TITAN,4079.8,768112,3138988000.0,93
WEWORK,565.1,5302554,3083640000.0,94
HSCL,587.15,5185493,3060434000.0,95
HINDUNILVR,2203.6,1382889,3047620000.0,96
GAIL,160.77,19157978,3021102000.0,97
INDIGO,4438.6,675234,2992578000.0,98
ADANIENT,2717.3,1094843,2982987000.0,99
RCF,130.78,22396063,2979511000.0,100
ASHOKLEY,158.21,18694921,2926476000.0,101
GRASIM,3155.3,906466,2867999000.0,102
SOLARINDS,18132.0,156707,2853487000.0,103
OLAELEC,36.01,78171002,2823433000.0,104
LUPIN,2281.8,1225221,2798821000.0,105
GROWW,187.79,14581540,2742693000.0,106
ATHERENERG,883.8,3039687,2693064000.0,107
NIBE,1450.5,1882732,2673254000.0,108
ADANIPORTS,1786.9,1487044,2663310000.0,109
BRITANNIA,5331.5,498183,2652191000.0,110
DRREDDY,1307.2,2002451,2627153000.0,111
SHILPAMED,490.25,5250173,2609814000.0,112
TMPV,363.35,6934910,2519671000.0,113
ABB,6689.5,371775,2481703000.0,114
HINDZINC,632.25,3870439,2455577000.0,115
HINDCOPPER,545.75,4438011,2438037000.0,116
DIVISLAB,6887.0,354149,2436650000.0,117
CANBK,128.23,18634807,2387626000.0,118
HCLTECH,1164.0,2044782,2383157000.0,119
IXIGO,171.17,13914979,2361256000.0,120
ADANIGREEN,1362.3,1681359,2305116000.0,121
LGEINDIA,1490.5,1548242,2298616000.0,122
SCI,316.3,7139885,2296475000.0,123
NETWEB,3851.3,594081,2291940000.0,124
PERSISTENT,4970.3,459525,2289488000.0,125
LAURUSLABS,1343.5,1698593,2282011000.0,126
JUBLFOOD,436.65,5199265,2260398000.0,127
MEESHO,199.01,11344543,2242423000.0,128
BAJAJ-AUTO,10549.5,207805,2202484000.0,129
HONAUT,35405.0,61734,2197845000.0,130
BANDHANBNK,194.61,11298203,2196093000.0,131
